Path,Type,Size
D:\MSP\PP\sem03.zip,File,5012
D:\MSP\PP\__init__.py,File,0
D:\MSP\PP\hw01,Directory,3761
D:\MSP\PP\hw02,Directory,1993
D:\MSP\PP\hw03,Directory,5679
D:\MSP\PP\hw04,Directory,10454
D:\MSP\PP\hw05,Directory,2928
D:\MSP\PP\hw06,Directory,5897
D:\MSP\PP\hw07,Directory,16925
D:\MSP\PP\hw08,Directory,37554
D:\MSP\PP\hw09,Directory,21023
D:\MSP\PP\Lesson01,Directory,4147
D:\MSP\PP\Lesson02,Directory,3219
D:\MSP\PP\Lesson03,Directory,12507
D:\MSP\PP\Lesson04,Directory,16873
D:\MSP\PP\Lesson05,Directory,20867
D:\MSP\PP\Lesson06,Directory,5108
D:\MSP\PP\Lesson07,Directory,32270
D:\MSP\PP\Lesson08,Directory,2278
D:\MSP\PP\Lesson09,Directory,527
D:\MSP\PP\sem03,Directory,9041
D:\MSP\PP\sem04,Directory,7637
D:\MSP\PP\sem05,Directory,5928
D:\MSP\PP\sem06,Directory,10654
D:\MSP\PP\sem07,Directory,12669
D:\MSP\PP\sem08,Directory,9938
D:\MSP\PP\sem09,Directory,13112
D:\MSP\PP\hw01\task01.py,File,1467
D:\MSP\PP\hw01\task02.py,File,1396
D:\MSP\PP\hw01\task03.py,File,898
D:\MSP\PP\hw02\task01.py,File,755
D:\MSP\PP\hw02\task02.py,File,1238
D:\MSP\PP\hw03\task01.py,File,1158
D:\MSP\PP\hw03\task02.py,File,3740
D:\MSP\PP\hw03\task04.py,File,781
D:\MSP\PP\hw04\task01.py,File,660
D:\MSP\PP\hw04\task02.py,File,938
D:\MSP\PP\hw04\task03.py,File,8856
D:\MSP\PP\hw05\task01.py,File,1218
D:\MSP\PP\hw05\task02.py,File,1133
D:\MSP\PP\hw05\task03.py,File,577
D:\MSP\PP\hw06\task01.py,File,2213
D:\MSP\PP\hw06\task02.py,File,1667
D:\MSP\PP\hw06\task03.py,File,2017
D:\MSP\PP\hw07\task01.py,File,2643
D:\MSP\PP\hw07\task02.py,File,1131
D:\MSP\PP\hw07\task03.py,File,406
D:\MSP\PP\hw07\task04.py,File,410
D:\MSP\PP\hw07\task05.py,File,518
D:\MSP\PP\hw07\task06.py,File,673
D:\MSP\PP\hw07\task07.py,File,1023
D:\MSP\PP\hw07\task08.py,File,2920
D:\MSP\PP\hw07\task09.py,File,2294
D:\MSP\PP\hw07\task10.py,File,625
D:\MSP\PP\hw07\task11.py,File,3548
D:\MSP\PP\hw07\task12.py,File,734
D:\MSP\PP\hw08\results.csv,File,7382
D:\MSP\PP\hw08\results.json,File,13930
D:\MSP\PP\hw08\results.pickle,File,8268
D:\MSP\PP\hw08\results.pkl,File,5
D:\MSP\PP\hw08\task01.py,File,5524
D:\MSP\PP\hw08\task02.py,File,2445
D:\MSP\PP\hw09\input_data.csv,File,1313
D:\MSP\PP\hw09\results.json,File,14534
D:\MSP\PP\hw09\task01.py,File,4621
D:\MSP\PP\hw09\task02.py,File,555
D:\MSP\PP\Lesson01\main.py,File,435
D:\MSP\PP\Lesson01\task02.py,File,251
D:\MSP\PP\Lesson01\task03.py,File,384
D:\MSP\PP\Lesson01\task04.py,File,316
D:\MSP\PP\Lesson01\task05.py,File,379
D:\MSP\PP\Lesson01\task06.py,File,421
D:\MSP\PP\Lesson01\task07.py,File,318
D:\MSP\PP\Lesson01\task08.py,File,232
D:\MSP\PP\Lesson01\task09.py,File,629
D:\MSP\PP\Lesson01\task10.py,File,493
D:\MSP\PP\Lesson01\task11.py,File,289
D:\MSP\PP\Lesson02\task01.py,File,379
D:\MSP\PP\Lesson02\task02.py,File,295
D:\MSP\PP\Lesson02\task03.py,File,173
D:\MSP\PP\Lesson02\task04.py,File,224
D:\MSP\PP\Lesson02\task05.py,File,202
D:\MSP\PP\Lesson02\task06.py,File,85
D:\MSP\PP\Lesson02\task07.py,File,330
D:\MSP\PP\Lesson02\task08.py,File,403
D:\MSP\PP\Lesson02\task09.py,File,566
D:\MSP\PP\Lesson02\task10.py,File,562
D:\MSP\PP\Lesson03\task01.py,File,4386
D:\MSP\PP\Lesson03\task02.py,File,1825
D:\MSP\PP\Lesson03\task03.py,File,3156
D:\MSP\PP\Lesson03\task04.py,File,2714
D:\MSP\PP\Lesson03\task05.py,File,426
D:\MSP\PP\Lesson04\task01.py,File,16873
D:\MSP\PP\Lesson05\task01.py,File,20867
D:\MSP\PP\Lesson06\les06.py,File,1513
D:\MSP\PP\Lesson06\random_.py,File,72
D:\MSP\PP\Lesson06\task_base_math.py,File,224
D:\MSP\PP\Lesson06\mathematical,Directory,3299
D:\MSP\PP\Lesson06\__pycache__,Directory,0
D:\MSP\PP\Lesson06\mathematical\advanced_math.py,File,491
D:\MSP\PP\Lesson06\mathematical\base_math.py,File,841
D:\MSP\PP\Lesson06\mathematical\__init__.py,File,0
D:\MSP\PP\Lesson06\mathematical\__pycache__,Directory,1967
D:\MSP\PP\Lesson06\mathematical\__pycache__\base_math.cpython-311.pyc,File,1815
D:\MSP\PP\Lesson06\mathematical\__pycache__\__init__.cpython-311.pyc,File,152
D:\MSP\PP\Lesson07\bin_data,File,1200
D:\MSP\PP\Lesson07\data.bin,File,100
D:\MSP\PP\Lesson07\data.txt,File,18
